PayPost kodas;Vietovė;Adresas
22001;Kaunas;Savanorių pr. 172 ir K.Petrausko g. 6 sankirta (prie PC "Office 1"), Kaunas
22003;Kaunas;Kovo 11-osios g. 22 (prie PC "IKI"), Kaunas
22004;Kaunas;R.Kalantos g. 131 (prie PC "Šilas"), Kaunas
22005;Kaunas;V.Krėvės pr. 97 (prie PC "Saulėtekis"), Kaunas
22006;Kaunas;Žemaičių pl. 23 (prie PC "IKI"), Kaunas
22007;Kaunas;P.Lukšio g. 1a ( ir Savanorių pr. 375 sankirta prie PC "Kalniečiai"), Kaunas
22008;Kaunas;Sukilėlių g. 84 (prie PC "Topolis"), Kaunas
22011;Kaunas;Taikos pr. 113 (prie PC "Trys berželiai"), Kaunas
22012;Kaunas;K. Baršausko g. 66 a (prie PC "Molas"), Kaunas
22013;Kaunas;Jotvingių g. 15 (prie parduotuvės "Taubūčiai"), Kaunas
22014;Kaunas;P.Lukšio g. 60 (prie PC "IKI"), Kaunas
22015;Kaunas;Šiaurės pr. 91 (prie PC "IKI"), Kaunas
22016;Kaunas;Baltų pr. 81 (prie parduotuvės "Žiemga"), Kaunas
22902;Kaunas;Varnių g. 38a (prie PC "IKI"), Kaunas
22909;Kaunas;Taikos pr. 145 (prie Automobilių turgaus), Kaunas
22910;Kaunas;Žemaičių pl. 66 (Šilainių turgavietėje), Kaunas
22925;Kaunas;Prancūzų g. 81, Kaunas (prie PC "Rimi")
22927;Kaunas;Šiaurės pr. 47, Kaunas (prie PC "Šiaurinė")
22928;Kaunas;Kovo 11-osios g. 61 , Kaunas (prie turgavietės)
22929;Kaunas;A.Juozapavičiaus pr. 81 (prie PC "Šilas"), Kaunas
22930;Kaunas;V.Krėvės pr. 13  , Kaunas (prie PC "IKI")
22933;Kaunas;Vytenio g. 22  ,  Kaunas (Demokratų g.  sankirta prie PC "Norfa"),
22938;Kaunas;Veiverių g. 150 B , Kaunas (prie PC "Maxima Bazė")
22701;Klaipėda;Taikos pr. 13 (ir Sausio 15 g. sankirta), Klaipėda
22703;Klaipėda;Naikupės g. 14 (prie PC "Saulutė"), Klaipėda
22707;Klaipėda;Taikos pr. 28 (prie viešbučio "Vėtrungė"), Klaipėda
22718;Klaipėda;Šilutės pl. 40, Klaipėda (prie PC "Maxima")
22719;Klaipėda;Vingio g. 14, Klaipėda (prie PC "IKI")
22721;Klaipėda; Taikos pr. 81 Klaipėda
22725;Klaipėda;Laukininkų g. 19, Klaipėda (prie PC "IKI")
22727;Klaipėda;Debreceno g. 61 Klaipėda (prie Grūstės)
22731;Klaipėda;Taikos pr. 139, Klaipėda (prie PC "BIG")
22802;Klaipėda;Liepojos g. 12, Klaipėda
22804;Klaipėda;Vingio g. 29 (prie PC "Rimi"), Klaipėda
22805;Klaipėda;Taikos pr. 117 (prie PC "IKI"), Klaipėda
22806;Klaipėda;Taikos pr. 80 (prie Naujojo turgaus), Klaipėda
22101;Panevėžys;Elektros g. 9 (prie J.Miltinio dramos teatro), Panevėžys
22102;Panevėžys;Statybininkų g. 50 (prie PC "Maxima"), Panevėžys
22105;Panevėžys;Kniaudiškių g. 63,   Panevėžys (Projektuotojų g. sankirta),
22120;Panevėžys;Vilniaus g. 14 (ir Basanavičiaus g. sankirta prie PC "Norfa"), Panevėžys
22122;Panevėžys;Nemuno g. 70, Panevėžys  (prie PC "IKI"), 
22124;Panevėžys;Nemuno g. 29 , Panevėžys (prie PC "Norfa"
22125;Panevėžys;Klaipėdos g. 102,  Panevėžys (F. Vaitkaus g. sankirta)
22126;Panevėžys;Beržų g. 52, Panevėžys  (Spaustuvės g. sankirta prie PC "Aibė")
22141;Panevėžys;Respublikos g. 71, Panevėžys  (ir Teatro g. sankirta prie PC "Maxima")
22203;Panevėžys;Aukštaičių g. 4 (prie PC "IKI"), Panevėžys
22204;Panevėžys;Marijonų g. 25 (prie PC "Panevėžio bičiulis"), Panevėžys
22127;Šiauliai;Lyros g. 26, Šiauliai  (prieš  PC "Lyra")
22128;Šiauliai;Vilniaus g. 204 , Šiauliai ( Šiaulių Bulvare) 
22129;Šiauliai;Pramonės g. 6 , Šiauliai (PC "Bruklinas" aikštelėje prie PC "Norfa")
22131;Šiauliai;Tilžės g. 109 (prie Autobusų stoties), Šiauliai
22132;Šiauliai;Krymo g. 28 , Šiauliai (prie "Akropolio")
22133;Šiauliai;Gardino g. 2, Šiauliai  ( prie PC "IKI" )
22208;Šiauliai;Vilniaus g. 208 (prie Senojo turgaus), Šiauliai 
22301;Vilnius;Gabijos g. 30 (Justiniškių g. ir Gabijos g. sankirta prie PC "Maxima"), Vilnius
22308;Vilnius;L.Asanavičiūtės 29, Vilnius (Prie PC norfa Karoliniškės)
22309;Vilnius;Geležinkelio g. 16 (prie Geležinkelio stoties), Vilnius 
22312;Vilnius;Liepkalnio g.112 ( Minsko pl. sankirta  prie PC MAXIMA), Vilnius
22315;Vilnius;S.Batoro g. 43 (Naujoji Vilnia), Vilnius
22316;Vilnius;Parko g. 34a (prie PC "IKI", Naujoji Vilnia), Vilnius
22334;Vilnius;Papilėnų g. 14, Vilnius
22336;Vilnius;Ateities g. 91 , Vilnius (prie PC "Mandarinas")
22337;Vilnius;Dariaus ir Girėno 5a, Vilnius
22340;Vilnius; Architektų g. 43 , Vilnius   ( (prie PC "IKI", Papartis)
22402;Vilnius;Medeinos g. 20 (prie PC "Rimi", Pašilaičiai), Vilnius
22403;Vilnius;Justiniškių g. 91 (prie PC "Norfa", Justiniškės), Vilnius
22404;Vilnius;Taikos g. 162 a (prie PC "Maxima"), Vilnius
22405;Vilnius;Viršuliškių g. 40 (prie PC "Mada", Viršuliškės), Vilnius 
22406;Vilnius;Architektų g. 152 (prie PC "Maxima"), Vilnius  
22407;Vilnius;Architektų g. 19 (prie PC "Rimi"), Vilnius
22410;Vilnius;Sodų g. 22, Vilnius (prie Autobusų st.)
22411;Vilnius; Kapsų g. 2 a, Vilnius
22413;Vilnius;Gariūnų g. 68 (prie Gariūnų turgavietės), Vilnius
22502;Vilnius;Antakalnio g. 82 (prie Antakalnio klinikų), Vilnius
22508;Vilnius;Jeruzalės g. 16 (Kalvarijų g. ir Braškių g. sankirta Jeruzalės mikrorajonas), Vilnius
22509;Vilnius;Santariškių g. 2 A, Vilnius 
22528;Vilnius;Žirmūnų g. 67, Vilnius 
22529;Vilnius;Dainavos g.6 (prie Lukiškių aikštės), Vilnius
22530;Vilnius;J.Lelevelio g. 6, Vilnius (A.Vienuolio g. sankirta)
22533;Vilnius;Žirmūnų g. 106, Vilnius  (prie PC "IKI")
22534;Vilnius;Kalvarijų g. 105 , Vilnius ( Apkasų g.  sankirta prie PC "IKI" ir 42 pašto)
22538;Vilnius;Gelvonų g. 39, Vilnius
22539;Vilnius;Didlaukio g. 80A , Vilnius (prie PC "IKI")
22601;Vilnius;Žirmūnų g. 64 g. (prie PC "Hyper RIMI"), Vilnius
22602;Vilnius;Žirmūnų g.2 (prie PC "Iki-Minskas"), Vilnius
22604;Vilnius;Antakalnio g. 41, Vilnius
22605;Vilnius;Kalvarijų g. 85 (ir Žalgirio g. sankirta) (prie "New York"), Vilnius
22606;Vilnius;Savanorių pr. 40 (prie PC "Maxima"), Vilnius
22607;Vilnius;Didlaukio g. 1 (ir Kalvarijų g. sankirta (prie PC "Maxima", Baltupiai), Vilnius
22610;Vilnius;S.Stanevičiaus g. 21 (prie parduotuvės "Jovaras"), Vilnius
22611;Vilnius;Ukmergės g. 282  (prie PC Maxima (prie PC "Lelija"), Vilnius
22612;Vilnius;Fabijoniškių g. 2 (prie PC "IKI", Fabijoniškės), Vilnius
22623;Vilnius;Ukmergės g. 220 (prie PC "IKI" Šeškinėje ), Vilnius
